project_id,observation_count,reporting_month,project_name,agency,project_code,ministry,sector,state,approval_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct,source_file,source_page,extraction_timestamp
709859,13,2025-07,SETTING UP OF PHYSICAL INFRASTRUCTURE FOR THE NATIONAL INSTITUTE OF COMMUNICATION FINANCE [NICF] AT GHITORNI,National Communication Academy - Finance (Erstwhile NICF,709859,Department for Promotion of Industry & Internal Trade,Telecommunication,Delhi,04/2018,02/2020,,248.2,248.2,236.91,98.0,FlashReport_July_2025_page63_table1.csv,63,2026-08-28T21:13:50.874122
709859,13,2025-08,SETTING UP OF PHYSICAL INFRASTRUCTURE FOR THE NATIONAL INSTITUTE OF COMMUNICATION FINANCE [NICF] AT GHITORNI,National Communication Academy - Finance (Erstwhile NICF,709859,Department for Promotion of Industry & Internal Trade,Telecommunication,Delhi,10/2014,02/2020,10/2025,248.2,248.2,236.91,98.0,FlashReport_August_2025_page63_table1.csv,63,2026-08-28T21:13:48.731228
709859,13,2025-09,SETTING UP OF PHYSICAL INFRASTRUCTURE FOR THE NATIONAL INSTITUTE OF COMMUNICATION FINANCE [NICF] AT GHITORNI,National Communication Academy - Finance (Erstwhile NICF,709859,Department for Promotion of Industry & Internal Trade,Telecommunication,Delhi,10/2014,02/2020,10/2025,248.2,248.2,236.91,98.0,FlashReport_September_2025_page68_table1.csv,68,2026-08-28T21:13:53.950711
701598,26,2025-07,Provision of 4G based Mobile Services in Uncovered Villages and National Highways of Meghalaya,Department of Telecommunications [DoT],701598,Department of Telecommunications,Telecommunication,Meghalaya,09/2020,03/2022,,971.96,971.96,208.25,98.0,FlashReport_July_2025_page35_table1.csv,35,2026-08-28T21:13:50.690965
701598,26,2025-08,Provision of 4G based Mobile Services in Uncovered Villages and National Highways of Meghalaya,Department of Telecommunications [DoT],701598,Department of Telecommunications,Telecommunication,Meghalaya,09/2019,03/2022,09/2025,971.96,971.96,208.25,99.0,FlashReport_August_2025_page35_table1.csv,35,2026-08-28T21:13:48.522633
701598,26,2025-09,Provision of 4G based Mobile Services in Uncovered Villages and National Highways of Meghalaya,Department of Telecommunications,701598,Department of Telecommunications,Telecommunication,Meghalaya,09/2019,03/2022,09/2025,971.96,971.96,208.25,99.0,FlashReport_September_2025_page40_table1.csv,40,2026-08-28T21:13:53.788613
617413,12,2025-09,Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase 1 Upgradation,Department of Telecommunications [DoT],617413,Department of Telecommunications,Telecommunication,"Multi-States (Andhra Pradesh, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal)",04/2022,05/2025,11/2025,1884.6,,,,FlashReport_September_2025_page35_table1.csv,35,2026-08-28T21:13:53.756977
701599,13,2025-07,Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase2,Department of Telecommunications [DoT],701599,Department for Promotion of Industry & Internal Trade,Telecommunication,"Multi-States (Andhra Pradesh, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal)",09/2021,03/2023,,1577.57,1577.57,596.17,87.0,FlashReport_July_2025_page63_table1.csv,63,2026-08-28T21:13:50.874298
701599,13,2025-08,Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase2,Department of Telecommunications [DoT],701599,,,"Multi-States (Andhra Pradesh, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal)",09/2021,03/2023,11/2025,1577.57,1577.57,598.31,87.0,FlashReport_August_2025_page64_table1.csv,64,2026-08-28T21:13:48.735575
701599,13,2025-09,Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase2,Department of Telecommunications [DoT],701599,,,"Multi-States (Andhra Pradesh, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal)",09/2021,03/2023,11/2025,1577.57,1577.57,600.04,87.0,FlashReport_September_2025_page69_table1.csv,69,2026-08-28T21:13:53.953542
